date,event,category,description
1990-08-02,Gulf War Begins,Geopolitical,"Iraq invaded Kuwait causing concerns about Middle East oil supply and triggering a sharp increase in crude oil prices."
1991-01-17,Gulf War Military Intervention,Geopolitical,"Military operations in the Gulf region increased uncertainty around global oil supply."
1997-07-01,Asian Financial Crisis,Economic,"Financial instability reduced economic activity and weakened global oil demand."
1998-03-30,OPEC Production Agreement,OPEC,"OPEC members agreed on production adjustments after a period of declining oil prices."
2003-03-20,Iraq War Begins,Geopolitical,"Conflict in Iraq increased concerns about disruption of Middle East oil production."
2008-09-15,Global Financial Crisis,Economic,"Global financial collapse caused a major decline in economic activity and oil demand."
2011-01-25,Arab Spring Uprisings,Geopolitical,"Political instability in oil-producing regions created concerns about future supply availability."
2014-11-27,OPEC Production Decision,OPEC,"OPEC maintained production levels despite falling prices, contributing to a prolonged oil price decline."
2016-11-30,OPEC Production Cut Agreement,OPEC,"OPEC members agreed to reduce production to stabilize global oil prices."
2018-05-08,US Withdrawal from Iran Nuclear Deal,Geopolitical,"Renewed sanctions concerns increased uncertainty about Iranian oil supply."
2020-03-11,COVID-19 Pandemic,Economic,"Global lockdown measures caused an unprecedented reduction in transportation demand and oil consumption."
2020-04-20,Historic Oil Price Collapse,Economic,"Extreme oversupply and demand destruction pushed crude oil prices to historic lows."
2021-11-01,Global Economic Recovery,Economic,"Post-pandemic recovery increased energy demand and supported rising oil prices."
2022-02-24,Russia-Ukraine War,Geopolitical,"Conflict created major uncertainty in global energy markets and disrupted supply expectations."
2022-10-05,OPEC+ Production Cut,OPEC,"OPEC+ announced production reductions affecting global supply expectations."
